marca,modelo,versao,ano_modelo,ano_fabricacao,preco,preco_anterior,aceita_troca,financiamento_disponivel,quilometragem,cor,combustivel,cambio,motor,portas,final_placa,opcionais,imagem_principal,imagens_galeria,descricao,observacoes,disponivel,destaque,oferta_especial,codigo_fipe,valor_fipe,cidade,estado,loja,codigo_interno,sku
Toyota,Corolla,XEi 2.0 Flex Automático,2024,2023,145900,159900,true,true,15000,Prata,Flex,Automático,2.0,4,5,"Ar condicionado digital;Câmera de ré;Sensor de estacionamento;Multimídia com GPS;Bancos de couro",https://exemplo.com/corolla-prata.jpg,"https://exemplo.com/corolla1.jpg,https://exemplo.com/corolla2.jpg,https://exemplo.com/corolla3.jpg",Corolla XEi 2024 em excelente estado de conservação. Único dono. Revisões em dia na concessionária. IPVA 2024 pago.,Aceita carro ou moto como parte do pagamento,true,true,true,004085-0,152000,São Paulo,SP,Toyota Premium SP,COR2024001,SKU-COR-001
Honda,Civic,Touring 1.5 Turbo CVT,2023,2022,189900,205000,true,true,28000,Preto,Gasolina,Automático CVT,1.5 Turbo,4,3,"Honda Sensing;Teto solar panorâmico;Ar condicionado tri-zone;Bancos de couro;Central multimídia 9 polegadas;Rodas aro 17",https://exemplo.com/civic-preto.jpg,"https://exemplo.com/civic1.jpg,https://exemplo.com/civic2.jpg,https://exemplo.com/civic3.jpg,https://exemplo.com/civic4.jpg",Honda Civic Touring 2023 top de linha. Todos os opcionais de fábrica. Segundo dono. Todas as revisões feitas na concessionária.,Garantia de fábrica até 2025,true,true,false,004115-8,196000,Rio de Janeiro,RJ,Honda Premium RJ,CIV2023001,SKU-CIV-001
Volkswagen,T-Cross,Highline 200 TSI AT,2024,2024,139900,0,true,true,5000,Branco,Flex,Automático,1.0 TSI,4,7,"App-Connect;Câmera 360 graus;Sensores dianteiros e traseiros;Ar digital;Piloto automático adaptativo;Teto solar",https://exemplo.com/tcross-branco.jpg,"https://exemplo.com/tcross1.jpg,https://exemplo.com/tcross2.jpg,https://exemplo.com/tcross3.jpg",Volkswagen T-Cross Highline 2024 zero KM de loja. Nunca emplacado. Todas as cores disponíveis.,Garantia total de fábrica por 3 anos,true,true,true,008348-0,145000,Belo Horizonte,MG,VW Premium BH,TCR2024001,SKU-TCR-001
Chevrolet,Onix,Plus Premier 1.0 Turbo AT,2023,2023,89900,95000,true,true,22000,Vermelho,Flex,Automático,1.0 Turbo,4,8,"MyLink 8 polegadas;Ar condicionado automático;Sensor de estacionamento traseiro;Câmera de ré;Volante multifuncional",https://exemplo.com/onix-vermelho.jpg,"https://exemplo.com/onix1.jpg,https://exemplo.com/onix2.jpg",Chevrolet Onix Plus Premier 2023. Perfeito estado. Único dono. Manual e chave reserva. IPVA 2024 pago.,Aceita financiamento em até 60x,true,false,true,006557-5,92000,Curitiba,PR,Chevrolet Premium PR,ONX2023001,SKU-ONX-001
Jeep,Compass,Limited 1.3 Turbo Flex AT,2024,2023,169900,185000,true,true,12000,Cinza,Flex,Automático,1.3 Turbo,4,2,"UConnect 10.1 polegadas;Ar condicionado dual-zone;Bancos de couro;Teto solar panorâmico;Faróis Full LED;Keyless",https://exemplo.com/compass-cinza.jpg,"https://exemplo.com/compass1.jpg,https://exemplo.com/compass2.jpg,https://exemplo.com/compass3.jpg,https://exemplo.com/compass4.jpg",Jeep Compass Limited 2024 impecável. Segundo dono. Todas as revisões em dia. Interior como novo.,Aceita carro ou moto de menor valor,true,true,false,005617-3,175000,Porto Alegre,RS,Jeep Premium RS,CMP2024001,SKU-CMP-001
Hyundai,HB20,Vision 1.0 Manual,2023,2022,68900,72000,true,true,35000,Prata,Flex,Manual,1.0,4,4,"Ar condicionado;Direção elétrica;Vidros elétricos;Travas elétricas;Central multimídia",https://exemplo.com/hb20-prata.jpg,"https://exemplo.com/hb20-1.jpg,https://exemplo.com/hb20-2.jpg",Hyundai HB20 Vision 2023. Econômico e confiável. Perfeito para primeiro carro. Muito bem conservado.,Financiamento facilitado em até 48x,true,false,false,004093-1,71000,Salvador,BA,Hyundai Premium BA,HB20023001,SKU-HB2-001
Fiat,Argo,Trekking 1.3 AT,2024,2024,95900,0,true,true,0,Azul,Flex,Automático CVT,1.3,4,9,"Tela 10.1 polegadas;Ar condicionado automático;Rodas aro 16;Faróis de neblina;Sensor de ré;Controle de tração",https://exemplo.com/argo-azul.jpg,"https://exemplo.com/argo1.jpg,https://exemplo.com/argo2.jpg,https://exemplo.com/argo3.jpg",Fiat Argo Trekking 2024 zero KM. Pronta entrega. Várias cores disponíveis. Primeira parcela para 90 dias.,Garantia de fábrica 3 anos,true,true,true,006734-9,98000,Recife,PE,Fiat Premium PE,ARG2024001,SKU-ARG-001
Renault,Kwid,Zen 1.0 Manual,2023,2023,59900,64000,true,true,18000,Laranja,Flex,Manual,1.0,4,6,"Ar condicionado;Central multimídia;Volante multifuncional;Computador de bordo;Rodas de liga leve",https://exemplo.com/kwid-laranja.jpg,"https://exemplo.com/kwid1.jpg,https://exemplo.com/kwid2.jpg",Renault Kwid Zen 2023. Econômico e compacto. Ideal para cidade. Único dono. Todas as revisões em dia.,Entrada facilitada a partir de 5 mil,true,false,true,005823-0,62000,Fortaleza,CE,Renault Premium CE,KWI2023001,SKU-KWI-001
Nissan,Kicks,Exclusive 1.6 CVT,2023,2023,119900,128000,true,true,20000,Branco Pérola,Flex,Automático CVT,1.6,4,1,"Ar condicionado digital;Tela 8 polegadas;Câmera 360;Sensores;Controle de cruzeiro adaptativo;Faróis LED",https://exemplo.com/kicks-branco.jpg,"https://exemplo.com/kicks1.jpg,https://exemplo.com/kicks2.jpg,https://exemplo.com/kicks3.jpg",Nissan Kicks Exclusive 2023 completo. Estado de zero. Segundo dono. Revisões na concessionária.,Aceita troca por carro de menor valor,true,true,false,005991-1,125000,Brasília,DF,Nissan Premium DF,KCK2023001,SKU-KCK-001
Ford,Ranger,XLT 3.2 Diesel 4x4 AT,2022,2021,229900,245000,true,true,45000,Preto,Diesel,Automático,3.2,4,5,"Ar condicionado dual;Central SYNC 3;Câmera de ré;Sensor de ré;Controle de tração;Caçamba com tampa",https://exemplo.com/ranger-preto.jpg,"https://exemplo.com/ranger1.jpg,https://exemplo.com/ranger2.jpg,https://exemplo.com/ranger3.jpg,https://exemplo.com/ranger4.jpg",Ford Ranger XLT 2022 diesel 4x4. Impecável. Único dono. Todas as revisões em concessionária Ford. Pneus novos.,Aceita carro ou caminhonete de menor valor,true,true,false,003876-4,238000,Goiânia,GO,Ford Premium GO,RNG2022001,SKU-RNG-001
